"Number of views,""Number of streams"""
23344813, 1362455611
17684626, 8124689818
14653287, 1003253074
11261690, 3074513354
9331482, 1589233511
9220713, 1458154826
9216150, 1748645280
9170917, 789140380
9162099, 1905650101
9112063, 1478617630
8731174, 1612844621
8308831, 270168463
8307452, 480870789
8150240, 1654372628
7988631, 757505287
7972485, 1127694333
7884742, 1400742278
7706205, 1446633741
7682164, 603980920
7420673, 1787972609
7416021, 1000273584
7215013, 1683395152
7675442, 923105745
6953923, 2377803884
6945715, 256215741
6938691, 137314837
6931413, 407631737
6892426, 1527630287
6863531, 1679039812
6843835, 423740828
6785356, 2235201091
6532601, 1751703829
6383571, 2018445892
6356407, 15206755
6206496, 837511085
6203285, 1344158246
6201528, 399513766
6196358, 2004271566
6156782, 1170692520
6135394, 863672608
6047694, 203929824
6028530, 2256943757
6015335, 1013693220
5956876, 1157375519
5932383, 1041048781
5642745, 826006670
5532314, 620779864
5522469, 224036724
5511334, 1167648872
5475924, 179221838
5423647, 807408678
5411658, 1103774074
5366482, 1195711870
5264361, 504460048
5253835, 1183275
5233512, 374338034
5181872, 18860303
5134076, 57373059
5042481, 1672329309
5022543, 67488466
4940410, 4536121
4925521, 182413097
4861214, 637423539
4825449, 789646313
4792135, 5787322
4761943, 58420274
4742786, 812348326
4735880, 355861932
4733651, 1905311448
4721197, 815611994 
